Epoch,loss,accuracy,val_loss,cifar10_ica_7-7
1,1.9276,0.2935,1.6651,0.4011
2,1.7294,0.3644,1.4732,0.462
3,1.6568,0.3973,1.409,0.4936
4,1.6079,0.4205,1.498,0.468
5,1.5718,0.4371,1.394,0.5015
6,1.5357,0.4525,1.3176,0.5303
7,1.5148,0.4651,1.3154,0.531
8,1.4862,0.4728,1.2198,0.5664
9,1.4772,0.4772,1.2449,0.5649
10,1.4476,0.4873,1.2117,0.5659
11,1.4385,0.4928,1.2613,0.5645
12,1.4226,0.4993,1.2051,0.5744
13,1.4105,0.5059,1.1651,0.5858
14,1.4012,0.5093,1.1779,0.5909
15,1.4005,0.5114,1.1418,0.5983
16,1.3828,0.5173,1.1729,0.5955
17,1.3809,0.52,1.1188,0.6154
18,1.3701,0.5222,1.1705,0.5958
19,1.3623,0.525,1.1366,0.5982
20,1.3579,0.5272,1.1105,0.6155
21,1.3569,0.5282,1.1633,0.598
22,1.3441,0.5334,1.1444,0.6006
23,1.3488,0.532,1.1097,0.621
24,1.3326,0.5374,1.1474,0.6151
25,1.3295,0.5384,1.1446,0.6106
26,1.3298,0.5402,1.1023,0.6161
27,1.3215,0.5404,1.114,0.6097
28,1.3229,0.5414,1.0897,0.6163
29,1.3218,0.5424,1.0987,0.617
30,1.3164,0.5434,1.1059,0.6132
31,1.3056,0.5476,1.1109,0.6117
32,1.3098,0.5479,1.1415,0.601
33,1.3004,0.5492,1.0998,0.6246
34,1.2959,0.551,1.1788,0.6024
35,1.2905,0.5535,1.0945,0.6255
36,1.3061,0.5503,1.0832,0.6323
37,1.2901,0.5536,1.0775,0.6283
38,1.2827,0.5595,1.0766,0.6267
39,1.2865,0.5569,1.0629,0.6347
40,1.2818,0.56,1.1024,0.6262
41,1.2784,0.5615,1.0795,0.6242
42,1.2757,0.5604,1.0679,0.6287
43,1.2688,0.5636,1.0606,0.6389
44,1.2596,0.5648,1.0527,0.6388
45,1.266,0.5654,1.0991,0.6238
46,1.2638,0.5668,1.1043,0.6166
47,1.2555,0.5702,1.0814,0.6267
48,1.26,0.568,1.1142,0.6253
49,1.2611,0.5649,1.075,0.6321
50,1.2556,0.5667,1.0485,0.6432
51,1.2559,0.5677,1.0635,0.6375
52,1.2491,0.5714,1.0882,0.6192
53,1.2441,0.5726,1.0368,0.6473
54,1.2293,0.5789,1.031,0.6441
55,1.2394,0.573,1.0908,0.6373
56,1.2463,0.5695,1.0593,0.6342
57,1.2364,0.5767,1.0803,0.6351
58,1.2399,0.5751,1.0529,0.6306
59,1.2353,0.5752,1.0709,0.6335
60,1.2263,0.5785,1.0408,0.6413
61,1.2324,0.5792,1.0262,0.6484
62,1.2332,0.5789,1.0216,0.6522
63,1.2657,0.5653,1.1025,0.6135
64,1.2617,0.564,1.0864,0.6249
65,1.2453,0.5689,1.0862,0.6296
66,1.2432,0.5708,1.0921,0.6247
67,1.2489,0.5696,1.0432,0.6442
68,1.2387,0.5738,1.0496,0.6408
69,1.2411,0.5737,1.1485,0.596
70,1.2372,0.5747,1.03,0.6418
71,1.2244,0.5784,1.0578,0.6394
72,1.2249,0.5808,1.0722,0.6374
73,1.218,0.5828,1.0316,0.6473
74,1.2139,0.5817,1.053,0.642
75,1.2173,0.5819,1.0471,0.645
76,1.2121,0.5827,1.0319,0.6495
77,1.2174,0.5811,1.0442,0.6452
78,1.2118,0.5844,1.0049,0.6545
79,1.2039,0.5869,1.0497,0.6365
80,1.2013,0.5867,0.9923,0.6637
81,1.2129,0.5849,1.0323,0.6523
82,1.1951,0.59,0.9982,0.6603
83,1.1944,0.5903,1.0095,0.6609
84,1.1931,0.5922,0.9949,0.6612
85,1.1979,0.588,1.0211,0.6445
86,1.185,0.5927,1.0641,0.6408
87,1.1938,0.5915,1.019,0.6518
88,1.1854,0.5927,1.0265,0.6435
89,1.189,0.5927,1.0415,0.653
90,1.1757,0.5966,1.0161,0.657
91,1.1869,0.5964,1.0107,0.6549
92,1.1781,0.5944,1.0563,0.6372
93,1.1676,0.6026,1.0232,0.6515
94,1.1723,0.5982,1.0797,0.6278
95,1.169,0.6007,1.0187,0.6526
96,1.1724,0.5983,1.0006,0.6598
97,1.163,0.604,0.9776,0.6643
98,1.1693,0.601,1.0196,0.6607
99,1.166,0.6001,1.0108,0.6593
100,1.153,0.6061,1.0074,0.665
